ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
42308.0,8,0,2010.0,3.23,2.88,3.48,2.62,2.9,3.13,1,0,0,-1.3040084328110229,-1.4908575539141207
70978.0,0,0,2010.0,3.58,3.25,4.26,3.37,3.47,3.02,0,2,2,0.22711680731466044,-1.644562756872025
31601.999999999996,0,1,2010.0,2.21,1.78,1.98,1.49,2.51,2.19,1,0,0,-4.623224945445586,-0.8946356322523682
63847.0,0,1,2010.0,2.7,2.67,2.44,2.0,2.35,3.19,1,0,0,-2.9618741269102795,-1.8056266235203913
30158.0,0,0,2010.0,3.88,3.61,3.69,3.63,4.58,4.24,0,2,2,1.5056165403526172,-1.6537058981345665
51740.0,0,1,2010.0,2.97,2.66,2.98,3.28,3.07,3.13,1,0,0,-1.470660632532706,-1.460398934000703
76075.0,0,1,2010.0,3.34,3.68,3.0,3.44,3.28,3.02,1,2,2,-0.46457649700613063,-1.5489068598823892
60888.0,0,0,2010.0,2.56,2.3,2.5,2.29,2.77,2.68,1,0,0,-3.0633754342267334,-1.4119442561171014
43378.0,0,1,2010.0,3.76,3.3,3.64,3.88,4.37,3.13,0,2,2,0.8091879042613581,-1.1439439632570692
80307.0,0,0,2010.0,3.96,3.94,3.89,3.81,4.17,3.98,0,1,1,1.6351867299935656,-2.0835728446562882
82483.0,0,0,2010.0,3.99,3.83,4.06,3.56,4.4,4.11,0,1,1,1.7317257678608005,-2.207018188571201
40021.0,0,1,2010.0,3.02,2.94,3.02,3.0,3.13,2.92,1,0,0,-1.4388334882582086,-1.2181891769577216
54093.0,0,0,2010.0,4.99,5.0,4.98,5.0,5.0,4.14,0,1,1,4.679667372709158,-1.6918074905128613
87694.0,0,0,2010.0,3.3,3.85,3.26,2.56,3.28,3.13,1,2,2,-0.651865932820591,-1.8639328520617988
36750.0,0,0,2010.0,4.44,4.32,4.28,4.53,4.71,2.89,0,1,1,2.649851412848886,-0.8104292753293566
33891.0,0,0,2010.0,4.22,4.02,4.18,4.19,4.51,2.5,0,1,1,1.8429321783264054,-0.6204740048443745
59057.0,0,1,2010.0,3.61,4.02,3.55,3.34,3.45,3.04,0,2,2,0.27802626712955,-1.4045626893587149
72189.0,0,0,2010.0,3.92,3.74,3.98,3.69,4.2,3.54,0,1,1,1.332137597432744,-1.7620110352991443
81428.0,0,1,2010.0,3.29,3.4,2.37,3.91,4.0,2.55,1,2,2,-0.5769882687181145,-1.111856255843295
93847.0,0,1,2011.0,3.77,3.89,3.51,3.84,3.88,3.13,0,2,2,0.8124133998014044,-1.0547067625791884
